// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\KIK-WebApiEgitimi-2\WebApiSolution\BenchMarkConsole\bin\Release\net7.0\b3b541f1-af02-4e09-9f3a-3bdf76df4e42
// command took 1.15 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\KIK-WebApiEgitimi-2\WebApiSolution\BenchMarkConsole\bin\Release\net7.0\b3b541f1-af02-4e09-9f3a-3bdf76df4e42
// command took 13.36 sec and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\KIK-WebApiEgitimi-2\WebApiSolution\BenchMarkConsole\bin\Release\net7.0\b3b541f1-af02-4e09-9f3a-3bdf76df4e42
// command took 2.4 sec and exited with 0
// ***** Done, took 00:00:16 (16.99 sec)   *****
// Found 5 benchmarks:
//   BenchMarkService.ToList: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   BenchMarkService.NoTrackingToList: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   BenchMarkService.ToListAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   BenchMarkService.NoTrackingToListAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   BenchMarkService.SqlQuery: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Yüksek performans)
// **************************
// Benchmark: BenchMarkService.ToList: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet b3b541f1-af02-4e09-9f3a-3bdf76df4e42.dll --anonymousPipes 1484 1480 --benchmarkName BenchMarkConsole.BenchMarkService.ToList --job ShortRun --benchmarkId 0 in C:\KIK-WebApiEgitimi-2\WebApiSolution\BenchMarkConsole\bin\Release\net7.0\b3b541f1-af02-4e09-9f3a-3bdf76df4e42\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.7
// Runtime=.NET 7.0.10 (7.0.1023.36312), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 159800.00 ns, 159.8000 us/op
WorkloadJitting  1: 1 op, 1341869000.00 ns, 1.3419 s/op

OverheadJitting  2: 1 op, 500.00 ns, 500.0000 ns/op
WorkloadJitting  2: 1 op, 12854300.00 ns, 12.8543 ms/op

OverheadJitting  3: 16 op, 176000.00 ns, 11.0000 us/op
WorkloadJitting  3: 16 op, 50734600.00 ns, 3.1709 ms/op

WorkloadPilot    1: 16 op, 7205300.00 ns, 450.3313 us/op
WorkloadPilot    2: 32 op, 15491900.00 ns, 484.1219 us/op
WorkloadPilot    3: 64 op, 45531600.00 ns, 711.4312 us/op
WorkloadPilot    4: 128 op, 71296200.00 ns, 557.0016 us/op
WorkloadPilot    5: 256 op, 102019000.00 ns, 398.5117 us/op
WorkloadPilot    6: 512 op, 216094600.00 ns, 422.0598 us/op
WorkloadPilot    7: 1024 op, 340669700.00 ns, 332.6853 us/op
WorkloadPilot    8: 2048 op, 518172000.00 ns, 253.0137 us/op

OverheadWarmup   1: 2048 op, 6500.00 ns, 3.1738 ns/op
OverheadWarmup   2: 2048 op, 4200.00 ns, 2.0508 ns/op
OverheadWarmup   3: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadWarmup   4: 2048 op, 4100.00 ns, 2.0020 ns/op
OverheadWarmup   5: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadWarmup   6: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadWarmup   7: 2048 op, 3900.00 ns, 1.9043 ns/op

OverheadActual   1: 2048 op, 5300.00 ns, 2.5879 ns/op
OverheadActual   2: 2048 op, 4100.00 ns, 2.0020 ns/op
OverheadActual   3: 2048 op, 4400.00 ns, 2.1484 ns/op
OverheadActual   4: 2048 op, 4200.00 ns, 2.0508 ns/op
OverheadActual   5: 2048 op, 4000.00 ns, 1.9531 ns/op
OverheadActual   6: 2048 op, 4300.00 ns, 2.0996 ns/op
OverheadActual   7: 2048 op, 4300.00 ns, 2.0996 ns/op
OverheadActual   8: 2048 op, 5700.00 ns, 2.7832 ns/op
OverheadActual   9: 2048 op, 5700.00 ns, 2.7832 ns/op
OverheadActual  10: 2048 op, 5300.00 ns, 2.5879 ns/op
OverheadActual  11: 2048 op, 4000.00 ns, 1.9531 ns/op
OverheadActual  12: 2048 op, 9200.00 ns, 4.4922 ns/op
OverheadActual  13: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual  14: 2048 op, 5100.00 ns, 2.4902 ns/op
OverheadActual  15: 2048 op, 4000.00 ns, 1.9531 ns/op
OverheadActual  16: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual  17: 2048 op, 4000.00 ns, 1.9531 ns/op
